column_id,column_name,column_type,section,join_target
nominal_flow_unit_gal_m,Nominal flow (gal/min (gpm)),number,,
nominal_flow_unit_gal_d,Nominal flow (gal/d),number,,
nominal_flow_unit_mgal_d,Nominal flow (Mgal/d (mgd)),number,,
nominal_flow_unit_m3_h,Nominal flow (m³/h),number,,
nominal_flow_unit_l_m,Nominal flow (l/min),number,,
nominal_flow_magnitude,Nominal flow (raw magnitude),number,,
nominal_flow_unit,Nominal flow (raw unit),enum,,
minimum_flow_unit_m3_s,Minimum flow (m³/s),number,,
minimum_flow_unit_m3_d,Minimum flow (m³/d),number,,
minimum_flow_unit_l_s,Minimum flow (L/s),number,,
minimum_flow_unit_l_d,Minimum flow (L/d),number,,
minimum_flow_unit_ml_d,Minimum flow (ML/d),number,,
minimum_flow_unit_gal_m,Minimum flow (gal/min (gpm)),number,,
minimum_flow_unit_gal_d,Minimum flow (gal/d),number,,
minimum_flow_unit_mgal_d,Minimum flow (Mgal/d (mgd)),number,,
minimum_flow_unit_m3_h,Minimum flow (m³/h),number,,
minimum_flow_unit_l_m,Minimum flow (l/min),number,,
minimum_flow_magnitude,Minimum flow (raw magnitude),number,,
minimum_flow_unit,Minimum flow (raw unit),enum,,
maximum_flow_unit_m3_s,Maximum flow (m³/s),number,,
maximum_flow_unit_m3_d,Maximum flow (m³/d),number,,
maximum_flow_unit_l_s,Maximum flow (L/s),number,,
maximum_flow_unit_l_d,Maximum flow (L/d),number,,
maximum_flow_unit_ml_d,Maximum flow (ML/d),number,,
maximum_flow_unit_gal_m,Maximum flow (gal/min (gpm)),number,,
maximum_flow_unit_gal_d,Maximum flow (gal/d),number,,
maximum_flow_unit_mgal_d,Maximum flow (Mgal/d (mgd)),number,,
maximum_flow_unit_m3_h,Maximum flow (m³/h),number,,
maximum_flow_unit_l_m,Maximum flow (l/min),number,,
maximum_flow_magnitude,Maximum flow (raw magnitude),number,,
maximum_flow_unit,Maximum flow (raw unit),enum,,
ht_source_assessment,Assessment of the source,enum,,
well_depth_unit_m,Well depth (m),number,,
well_depth_unit_ft,Well depth (ft),number,,
well_depth_magnitude,Well depth (raw magnitude),number,,
well_depth_unit,Well depth (raw unit),enum,,
well_diameter_unit_m,Well diameter (m),number,,
well_diameter_unit_cm,Well diameter (cm),number,,
well_diameter_unit_mm,Well diameter (mm),number,,
well_diameter_unit_in,Well diameter (in),number,,
well_diameter_magnitude,Well diameter (raw magnitude),number,,
well_diameter_unit,Well diameter (raw unit),enum,,
static_water_level_unit_m,Static water level (m),number,,
static_water_level_unit_ft,Static water level (ft),number,,
static_water_level_unit_cm,Static water level (cm),number,,
static_water_level_unit_in,Static water level (in),number,,
static_water_level_magnitude,Static water level (raw magnitude),number,,
static_water_level_unit,Static water level (raw unit),enum,,
dynamic_water_level_unit_m,Dynamic water level (m),number,,
dynamic_water_level_unit_ft,Dynamic water level (ft),number,,
dynamic_water_level_unit_cm,Dynamic water level (cm),number,,
dynamic_water_level_unit_in,Dynamic water level (in),number,,
dynamic_water_level_magnitude,Dynamic water level (raw magnitude),number,,
dynamic_water_level_unit,Dynamic water level (raw unit),enum,,
groundwater_temperature_unit_c,Groundwater temperature (°C),number,,
groundwater_temperature_magnitude,Groundwater temperature (raw magnitude),number,,
groundwater_temperature_unit,Groundwater temperature (raw unit),enum,,
pump_or_lifting_device,Pump or lifting device,enum,,
apron_installed,Apron installed,boolean,,
monitoring_well,Monitoring well,boolean,,
spring_box_present,Spring box present,boolean,,
spring_box_length_unit_m,Spring box length (m),number,,
spring_box_length_unit_ft,Spring box length (ft),number,,
spring_box_length_unit_cm,Spring box length (cm),number,,
spring_box_length_unit_in,Spring box length (in),number,,
spring_box_length_magnitude,Spring box length (raw magnitude),number,,
spring_box_length_unit,Spring box length (raw unit),enum,,
spring_box_width_unit_m,Spring box width (m),number,,
spring_box_width_unit_ft,Spring box width (ft),number,,
spring_box_width_unit_cm,Spring box width (cm),number,,
spring_box_width_unit_in,Spring box width (in),number,,
spring_box_width_magnitude,Spring box width (raw magnitude),number,,
spring_box_width_unit,Spring box width (raw unit),enum,,
spring_box_depth_unit_m,Spring box depth (m),number,,
spring_box_depth_unit_ft,Spring box depth (ft),number,,
spring_box_depth_unit_cm,Spring box depth (cm),number,,
spring_box_depth_unit_in,Spring box depth (in),number,,
spring_box_depth_magnitude,Spring box depth (raw magnitude),number,,
spring_box_depth_unit,Spring box depth (raw unit),enum,,
overflow_pipe_present,Overflow pipe present,boolean,,
drain_pipe_present,Drain pipe present,boolean,,
casing_diameter_unit_m,Casing diameter (m),number,,
casing_diameter_unit_cm,Casing diameter (cm),number,,
casing_diameter_unit_mm,Casing diameter (mm),number,,
casing_diameter_unit_in,Casing diameter (in),number,,
casing_diameter_magnitude,Casing diameter (raw magnitude),number,,
casing_diameter_unit,Casing diameter (raw unit),enum,,
depth_of_casing_unit_m,Depth of casing (m),number,,
depth_of_casing_unit_ft,Depth of casing (ft),number,,
depth_of_casing_magnitude,Depth of casing (raw magnitude),number,,
depth_of_casing_unit,Depth of casing (raw unit),enum,,
casing_material,Casing material,enum,,
screen_length_unit_m,Screen length (m),number,,
screen_length_unit_ft,Screen length (ft),number,,
screen_length_magnitude,Screen length (raw magnitude),number,,
screen_length_unit,Screen length (raw unit),enum,,
pump_position_unit_m,Pump position (m),number,,
pump_position_unit_ft,Pump position (ft),number,,
pump_position_magnitude,Pump position (raw magnitude),number,,
pump_position_unit,Pump position (raw unit),enum,,
photo_of_well_log,Photo of well log,imagelist,,
pump_type,Pump type,enum,,
pump_configuration,Pump configuration,enum,,
pump_diameter_unit_m,Pump diameter (m),number,,
pump_diameter_unit_cm,Pump diameter (cm),number,,
pump_diameter_unit_mm,Pump diameter (mm),number,,
pump_diameter_unit_in,Pump diameter (in),number,,
pump_diameter_magnitude,Pump diameter (raw magnitude),number,,
pump_diameter_unit,Pump diameter (raw unit),enum,,
pump_power_rating_unit_w,Pump power rating (W),number,,
pump_power_rating_unit_kw,Pump power rating (kW),number,,
pump_power_rating_unit_hp,Pump power rating (hp),number,,
pump_power_rating_magnitude,Pump power rating (raw magnitude),number,,
pump_power_rating_unit,Pump power rating (raw unit),enum,,
pump_motor_configuration,Pump motor configuration,enum,,
pump_sleeve,Pump sleeve installed,boolean,,
pump_sleeve_manufacturer,Pump sleeve manufacturer,text,,
pump_sleeve_material,Pump sleeve material,enum,,
pump_sleeve_diameter_unit_mm,Pump sleeve nominal diameter (mm),number,,
pump_sleeve_diameter_unit_cm,Pump sleeve nominal diameter (cm),number,,
pump_sleeve_diameter_unit_in,Pump sleeve nominal diameter (in),number,,
pump_sleeve_diameter_magnitude,Pump sleeve nominal diameter (raw magnitude),number,,
pump_sleeve_diameter_unit,Pump sleeve nominal diameter (raw unit),enum,,
riser_pipe,Riser pipe fitting connection type,enum,,
riser_pipe_length_unit_m,Riser pipe length (m),number,,
riser_pipe_length_unit_ft,Riser pipe length (ft),number,,
riser_pipe_length_magnitude,Riser pipe length (raw magnitude),number,,
riser_pipe_length_unit,Riser pipe length (raw unit),enum,,
riser_pipe_diameter_unit_cm,Riser pipe diameter (cm),number,,
riser_pipe_diameter_unit_in,Riser pipe diameter (in),number,,
riser_pipe_diameter_unit_mm,Riser pipe diameter (mm),number,,
riser_pipe_diameter_magnitude,Riser pipe diameter (raw magnitude),number,,
riser_pipe_diameter_unit,Riser pipe diameter (raw unit),enum,,
riser_pipe_material,Riser pipe material,enum,,
pump_depth_unit_m,Pump depth (m),number,,
pump_depth_unit_ft,Pump depth (ft),number,,
pump_depth_magnitude,Pump depth (raw magnitude),number,,
pump_depth_unit,Pump depth (raw unit),enum,,
separate_dryrun_sensor,Separate dryrun sensor,enum,,
pump_motor_voltage_type,Pump motor voltage type,enum,,
pump_motor_voltage_unit_v,Pump motor voltage (V),number,,
pump_motor_voltage_unit_kv,Pump motor voltage (kV),number,,
pump_motor_voltage_magnitude,Pump motor voltage (raw magnitude),number,,
pump_motor_voltage_unit,Pump motor voltage (raw unit),enum,,
pump_motor_max_current_unit_a,Pump motor max current (A),number,,
pump_motor_max_current_magnitude,Pump motor max current (raw magnitude),number,,
pump_motor_max_current_unit,Pump motor max current (raw unit),enum,,
pump_motor_max_power_unit_w,Pump motor max power (W),number,,
pump_motor_max_power_unit_kw,Pump motor max power (kW),number,,
pump_motor_max_power_unit_hp,Pump motor max power (hp),number,,
pump_motor_max_power_magnitude,Pump motor max power (raw magnitude),number,,
pump_motor_max_power_unit,Pump motor max power (raw unit),enum,,
motor_serial_number,Motor serial number,text,,
design_flow_unit_m3_s,Design flow (m³/s),number,,
design_flow_unit_l_s,Design flow (L/s),number,,
design_flow_unit_gal_m,Design flow (gal/min (gpm)),number,,
design_flow_unit_m3_hr,Design flow (m³/hr),number,,
design_flow_unit_l_m,Design flow (L/min),number,,
design_flow_magnitude,Design flow (raw magnitude),number,,
design_flow_unit,Design flow (raw unit),enum,,
design_head_unit_pa,Design head (Pa),number,,
design_head_unit_kpa,Design head (kPa),number,,
design_head_unit_psi,Design head (psi),number,,
design_head_unit_ft_water,Design head (ft H₂O),number,,
design_head_unit_m_water,Design head (m H₂O),number,,
design_head_unit_in_water,Design head (in H₂O),number,,
design_head_unit_cm_water,Design head (cm H₂O),number,,
design_head_magnitude,Design head (raw magnitude),number,,
design_head_unit,Design head (raw unit),enum,,
pump_maximum_flow_unit_m3_s,Maximum flow (Q-max) (m³/s),number,,
pump_maximum_flow_unit_l_s,Maximum flow (Q-max) (L/s),number,,
pump_maximum_flow_unit_gal_m,Maximum flow (Q-max) (gal/min (gpm)),number,,
pump_maximum_flow_unit_m3_h,Maximum flow (Q-max) (m³/h),number,,
pump_maximum_flow_unit_l_m,Maximum flow (Q-max) (L/min),number,,
pump_maximum_flow_magnitude,Maximum flow (Q-max) (raw magnitude),number,,
pump_maximum_flow_unit,Maximum flow (Q-max) (raw unit),enum,,
pump_h_min_unit_pa,Head at maximum flow (H-min) (Pa),number,,
pump_h_min_unit_kpa,Head at maximum flow (H-min) (kPa),number,,
pump_h_min_unit_psi,Head at maximum flow (H-min) (psi),number,,
pump_h_min_unit_in_water,Head at maximum flow (H-min) (in H₂O),number,,
pump_h_min_unit_cm_water,Head at maximum flow (H-min) (cm H₂O),number,,
pump_h_min_unit_in_water,Head at maximum flow (H-min) (in H₂O),number,,
pump_h_min_unit_m_water,Head at maximum flow (H-min) (m H₂O),number,,
pump_h_min_magnitude,Head at maximum flow (H-min) (raw magnitude),number,,
pump_h_min_unit,Head at maximum flow (H-min) (raw unit),enum,,
pump_q_min_unit_m3_s,Minimum flow (Q-min) (m³/s),number,,
pump_q_min_unit_l_s,Minimum flow (Q-min) (L/s),number,,
pump_q_min_unit_gal_m,Minimum flow (Q-min) (gal/min (gpm)),number,,
pump_q_min_unit_m3_h,Minimum flow (Q-min) (m³/h),number,,
pump_q_min_unit_l_m,Minimum flow (Q-min) (L/min),number,,
pump_q_min_magnitude,Minimum flow (Q-min) (raw magnitude),number,,
pump_q_min_unit,Minimum flow (Q-min) (raw unit),enum,,
pump_h_max_unit_pa,Head at minimum flow (H-Max) (Pa),number,,
pump_h_max_unit_kpa,Head at minimum flow (H-Max) (kPa),number,,
pump_h_max_unit_psi,Head at minimum flow (H-Max) (psi),number,,
pump_h_max_unit_ft_water,Head at minimum flow (H-Max) (ft H₂O),number,,
pump_h_max_unit_in_water,Head at minimum flow (H-Max) (in H₂O),number,,
pump_h_max_unit_cm_water,Head at minimum flow (H-Max) (cm H₂O),number,,
pump_h_max_unit_m_water,Head at minimum flow (H-Max) (m H₂O),number,,
pump_h_max_magnitude,Head at minimum flow (H-Max) (raw magnitude),number,,
pump_h_max_unit,Head at minimum flow (H-Max) (raw unit),enum,,
pump_npsh_r_unit_pa,NPSH-R (Pa),number,,
pump_npsh_r_unit_kpa,NPSH-R (kPa),number,,
pump_npsh_r_unit_psi,NPSH-R (psi),number,,
pump_npsh_r_unit_ft_water,NPSH-R (ft H₂O),number,,
pump_npsh_r_unit_in_water,NPSH-R (in H₂O),number,,
pump_npsh_r_unit_cm_water,NPSH-R (cm H₂O),number,,
pump_npsh_r_unit_m_water,NPSH-R (m H₂O),number,,
pump_npsh_r_magnitude,NPSH-R (raw magnitude),number,,
pump_npsh_r_unit,NPSH-R (raw unit),enum,,
tank_type,Tank type,enum,,
ht_type_deau_stockee,Type of water stored,enum,,
ht_presence_bypass,Presence of a bypass,boolean,,
tank_material,Tank material,enum,,
tank_volume_unit_m3,Tank volume (m³),number,,
tank_volume_unit_l,Tank volume (L),number,,
tank_volume_unit_ft3,Tank volume (ft³),number,,
tank_volume_unit_gal,Tank volume (gal),number,,
tank_volume_unit_mil_m3,Tank volume (Mm³),number,,
tank_volume_unit_mgal,Tank volume (Mgal),number,,
tank_volume_unit_acreft,Tank volume (acre-ft),number,,
tank_volume_magnitude,Tank volume (raw magnitude),number,,
tank_volume_unit,Tank volume (raw unit),enum,,
tank_shape,Tank shape,enum,,
tank_location,Tank location,enum,,
cleanout_port,Cleanout port installed,boolean,,
float_switch,Float switch type,enum,,
tank_purpose,Tank purpose,enum,,
tank_diameter_unit_m,Tank diameter (m),number,,
tank_diameter_unit_ft,Tank diameter (ft),number,,
tank_diameter_unit_cm,Tank diameter (cm),number,,
tank_diameter_unit_in,Tank diameter (in),number,,
tank_diameter_magnitude,Tank diameter (raw magnitude),number,,
tank_diameter_unit,Tank diameter (raw unit),enum,,
tank_height_unit_m,Tank height (m),number,,
tank_height_unit_ft,Tank height (ft),number,,
tank_height_unit_cm,Tank height (cm),number,,
tank_height_unit_in,Tank height (in),number,,
tank_height_magnitude,Tank height (raw magnitude),number,,
tank_height_unit,Tank height (raw unit),enum,,
tank_length_unit_m,Tank length (m),number,,
tank_length_unit_ft,Tank length (ft),number,,
tank_length_unit_in,Tank length (in),number,,
tank_length_unit_cm,Tank length (cm),number,,
tank_length_magnitude,Tank length (raw magnitude),number,,
tank_length_unit,Tank length (raw unit),enum,,
tank_width_unit_m,Tank width (m),number,,
tank_width_unit_ft,Tank width (ft),number,,
tank_width_unit_cm,Tank width (cm),number,,
tank_width_unit_in,Tank width (in),number,,
tank_width_magnitude,Tank width (raw magnitude),number,,
tank_width_unit,Tank width (raw unit),enum,,
tank_bottom_height_unit_m,Height of tank bottom (m),number,,
tank_bottom_height_unit_ft,Height of tank bottom (ft),number,,
tank_bottom_height_unit_cm,Height of tank bottom (cm),number,,
tank_bottom_height_unit_in,Height of tank bottom (in),number,,
tank_bottom_height_magnitude,Height of tank bottom (raw magnitude),number,,
tank_bottom_height_unit,Height of tank bottom (raw unit),enum,,
tank_min_level_unit_m,Minimum water level (m),number,,
tank_min_level_unit_ft,Minimum water level (ft),number,,
tank_min_level_unit_cm,Minimum water level (cm),number,,
tank_min_level_unit_in,Minimum water level (in),number,,
tank_min_level_magnitude,Minimum water level (raw magnitude),number,,
tank_min_level_unit,Minimum water level (raw unit),enum,,
tank_max_level_unit_m,Maximum water level (m),number,,
tank_max_level_unit_ft,Maximum water level (ft),number,,
tank_max_level_unit_cm,Maximum water level (cm),number,,
tank_max_level_unit_in,Maximum water level (in),number,,
tank_max_level_magnitude,Maximum water level (raw magnitude),number,,
tank_max_level_unit,Maximum water level (raw unit),enum,,
filling_control_installed,Filling control installed,boolean,,
type_filling_control,Type of filling control,enum,,
fill_level_indicator_installed,Fill level indicator installed,boolean,,
rated_power_unit_w,Rated power (W),number,,
rated_power_unit_kw,Rated power (kW),number,,
rated_power_unit_hp,Rated power (hp),number,,
rated_power_magnitude,Rated power (raw magnitude),number,,
rated_power_unit,Rated power (raw unit),enum,,
max_power_unit_w,Maximum power (W),number,,
max_power_unit_kw,Maximum power (kW),number,,
max_power_unit_hp,Maximum power (hp),number,,
max_power_magnitude,Maximum power (raw magnitude),number,,
max_power_unit,Maximum power (raw unit),enum,,
nominal_voltage_unit_v,Nominal voltage (V),number,,
nominal_voltage_unit_kv,Nominal voltage (kV),number,,
nominal_voltage_magnitude,Nominal voltage (raw magnitude),number,,
nominal_voltage_unit,Nominal voltage (raw unit),enum,,
rated_voltage_unit_v,Rated voltage (V),number,,
rated_voltage_unit_kv,Rated voltage (kV),number,,
rated_voltage_magnitude,Rated voltage (raw magnitude),number,,
rated_voltage_unit,Rated voltage (raw unit),enum,,
max_current_unit_a,Maximum current (A),number,,
max_current_magnitude,Maximum current (raw magnitude),number,,
max_current_unit,Maximum current (raw unit),enum,,
type_of_current,Type of current,enum,,
frequency_of_current,Frequency of current,enum,,
power_type,Power type,enum,,
power_use,Power use,enum,,
number_batteries,Number of batteries,number,,
battery_amp_hours_unit_ah,Battery amp hours (Ah),number,,
battery_amp_hours_magnitude,Battery amp hours (raw magnitude),number,,
battery_amp_hours_unit,Battery amp hours (raw unit),enum,,
number_parallel_strings_battery,Number of parallel strings (Battery),number,,
battery_type,Battery type,enum,,
pv_panel_type,PV panel type,enum,,
number_pv_panels,Total number of PV panels,number,,
number_in_series,Number of panels in series,number,,
number_parallel_strings_solar,Number of parallel strings (Solar),number,,
panel_rated_power_unit_w,Panel rated power (W),number,,
panel_rated_power_unit_kw,Panel rated power (kW),number,,
panel_rated_power_magnitude,Panel rated power (raw magnitude),number,,
panel_rated_power_unit,Panel rated power (raw unit),enum,,
panel_oc_voltage_unit_v,Panel open circuit voltage (V),number,,
panel_oc_voltage_magnitude,Panel open circuit voltage (raw magnitude),number,,
panel_oc_voltage_unit,Panel open circuit voltage (raw unit),enum,,
panel_series_fuse_rating_unit_a,Panel series fuse rating (A),number,,
panel_series_fuse_rating_magnitude,Panel series fuse rating (raw magnitude),number,,
panel_series_fuse_rating_unit,Panel series fuse rating (raw unit),enum,,
panel_short_circuit_current_unit_a,Panel short circuit current (A),number,,
panel_short_circuit_current_magnitude,Panel short circuit current (raw magnitude),number,,
panel_short_circuit_current_unit,Panel short circuit current (raw unit),enum,,
panel_voltage_max_unit_v,Panel voltage at maximum power (V),number,,
panel_voltage_max_magnitude,Panel voltage at maximum power (raw magnitude),number,,
panel_voltage_max_unit,Panel voltage at maximum power (raw unit),enum,,
total_array_rated_power_unit_w,Total array rated power (W),number,,
total_array_rated_power_unit_kw,Total array rated power (kW),number,,
total_array_rated_power_magnitude,Total array rated power (raw magnitude),number,,
total_array_rated_power_unit,Total array rated power (raw unit),enum,,
generator_fuel,Generator fuel,enum,,
generator_apparent_power_unit_w,Generator apparent power (W),number,,
generator_apparent_power_unit_kw,Generator apparent power (kW),number,,
generator_apparent_power_unit_kva,Generator apparent power (kVA),number,,
generator_apparent_power_magnitude,Generator apparent power (raw magnitude),number,,
generator_apparent_power_unit,Generator apparent power (raw unit),enum,,
engine_cooling_system,Engine cooling system,enum,,
treatment_type,Treatment type,enum,,
pre_treatment,Pre-treatment type,enum,,
filtration_type,Filtration type,enum,,
wm_treatment_type,WM Treatment type,enum,,
chlorine_type,Chlorine type,enum,,
dosing_method,Dosing method,enum,,
meter_id,Meter ID,text,,
meter_type,Meter type,enum,,
meter_design,Meter design,enum,,
meter_min_flow_rate_unit_m3_s,Minimum measurable flow rate (m³/s),number,,
meter_min_flow_rate_unit_m3_d,Minimum measurable flow rate (m³/d),number,,
meter_min_flow_rate_unit_l_s,Minimum measurable flow rate (L/s),number,,
meter_min_flow_rate_unit_l_d,Minimum measurable flow rate (L/d),number,,
meter_min_flow_rate_unit_gal_m,Minimum measurable flow rate (gal/min (gpm)),number,,
meter_min_flow_rate_unit_gal_d,Minimum measurable flow rate (gal/d),number,,
meter_min_flow_rate_unit_m3_h,Minimum measurable flow rate (m³/h),number,,
meter_min_flow_rate_unit_l_m,Minimum measurable flow rate (L/min),number,,
meter_min_flow_rate_magnitude,Minimum measurable flow rate (raw magnitude),number,,
meter_min_flow_rate_unit,Minimum measurable flow rate (raw unit),enum,,
meter_measurement_type,Meter measurement type,enum,,
flow_meter_display_units,Flow meter display units,enum,,
volumetric_meter_display_units,Volumetric meter display units,enum,,
pre_paid,Pre-paid?,boolean,,
electrical_type,Electrical type,enum,,
electrical_power_device_type,Electrical power device type,enum,,
protection_control_type,Protection and control device type,enum,,
valve_type,Valve type,enum,,
date_last_actuation,Date of last actuation,date,,
hydrant_type,Hydrant type,enum,,
junction_type,Junction type,enum,,
sampling_point_type,Sampling point type,enum,,
sensor_type,Sensor type,enum,,
analyzer_type,Analyzer type,text,,
structure_type,Structure type,enum,,
perimeter_type,Perimeter type,enum,,
perimeter_total_length_unit_m,Perimeter total length (m),number,,
perimeter_total_length_unit_ft,Perimeter total length (ft),number,,
perimeter_total_length_unit_km,Perimeter total length (km),number,,
perimeter_total_length_unit_yd,Perimeter total length (yd),number,,
perimeter_total_length_unit_mi,Perimeter total length (mi),number,,
perimeter_total_length_magnitude,Perimeter total length (raw magnitude),number,,
perimeter_total_length_unit,Perimeter total length (raw unit),enum,,
perimeter_height_unit_m,Perimeter height (m),number,,
perimeter_height_unit_km,Perimeter height (km),number,,
perimeter_height_unit_ft,Perimeter height (ft),number,,
perimeter_height_unit_yd,Perimeter height (yd),number,,
perimeter_height_unit_mi,Perimeter height (mi),number,,
perimeter_height_magnitude,Perimeter height (raw magnitude),number,,
perimeter_height_unit,Perimeter height (raw unit),enum,,
perimeter_setback_distance_unit_m,Perimeter setback distance (m),number,,
perimeter_setback_distance_unit_km,Perimeter setback distance (km),number,,
perimeter_setback_distance_unit_ft,Perimeter setback distance (ft),number,,
perimeter_setback_distance_unit_yd,Perimeter setback distance (yd),number,,
perimeter_setback_distance_unit_mi,Perimeter setback distance (mi),number,,
